OTU_ID	domain	domain_conf	phylum	phylum_conf	class	class_conf	order	order_conf	family	family_conf	genus	genus_conf	species	species_conf	blast_query	blast_strain	blast_16s_completeness	blast_percent_identity	blast_alignment_length	ncbi_avglinkage_otu_id	num_of_sp_in_cluster	num_of_sp_in_db	num_of_otus_with_same_sp
OTU_1010	Bacteria	1	Proteobacteria	0.9399	Deltaproteobacteria	0.8882	Bdellovibrionales	0.5655	Bacteriovoracaceae	0.3638	Peredibacter	0.1355	Peredibacter_starrii	0.0141	NA	NA	NA	NA	NA	843	1	1	1
OTU_1011	Bacteria	1	Bacteroidetes	0.9983	Flavobacteriia	0.9287	Flavobacteriales	0.8643	Flavobacteriaceae	0.8238	Chryseobacterium	0.0711	Chryseobacterium_koreense	0.0059	d:Bacteria,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Chryseobacterium,s:Chryseobacterium_treverense	IMMIB_L-1519	no	94.1	1433	1516	1	2	1
OTU_1012	Bacteria	1	Proteobacteria	0.9399	Gammaproteobacteria	0.8182	Pseudomonadales	0.526	Moraxellaceae	0.4044	Acinetobacter	0.1664	Acinetobacter_baumannii	0.0092	d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter,s:Acinetobacter_indicus	A648_16S	no	93.8	1393	441	4	7	1
OTU_1013	Bacteria	1	Firmicutes	0.9996	Bacilli	0.9995	Bacillales	0.9938	Staphylococcaceae	0.9901	Staphylococcus	0.9869	Staphylococcus_vitulinus	0.7194	d:Bacteria,p:Firmicutes,c:Bacilli,o:Bacillales,f:Bacillaceae,g:Bacillus,s:Bacillus_krulwichiae	NBRC_102362	no	90.3	1413	689	5	1	1
OTU_1014	Bacteria	1	Proteobacteria	0.9743	Betaproteobacteria	0.949	Hydrogenophilales	0.7983	Hydrogenophilaceae	0.7915	Thiobacillus	0.7349	Thiobacillus_aquaesulis	0.3055	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Roseococcus,s:Roseococcus_suduntuyensis	SHET_16S	no	96.6	29	3717	1	2	1
OTU_1015	Bacteria	1	Actinobacteria	0.9968	Actinobacteria	0.9913	Micrococcales	0.7322	Micrococcaceae	0.7151	Arthrobacter	0.5908	Arthrobacter_nasiphocae	0.2112	d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Promicromonosporaceae,g:Promicromonospora,s:Promicromonospora_vindobonensis	V-45_16S	no	92.2	1340	1128	1	1	1
OTU_1016	Bacteria	1	Actinobacteria	0.9988	Actinobacteria	0.9992	Micrococcales	0.9841	Dermabacteraceae	0.9751	Brachybacterium	0.973	Brachybacterium_tyrofermentans	0.5993	NA	NA	NA	NA	NA	485	6	1	1
OTU_1017	Bacteria	1	Firmicutes	0.9968	Negativicutes	0.9883	Selenomonadales	0.9371	Sporomusaceae	0.9034	Psychrosinus	0.4696	Psychrosinus_fermentans	0.1169	NA	NA	NA	NA	NA	5080	1	1	1
OTU_1018	Bacteria	1	Proteobacteria	0.9906	Gammaproteobacteria	0.9903	Thiotrichales	0.9481	Piscirickettsiaceae	0.9631	Methylophaga	0.973	Methylophaga_nitratireducenticrescens	0.2112	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sandaracinobacter,s:Sandaracinobacter_sibiricus	RB16-17_16S	no	100	27	3814	2	2	1
OTU_1019	Bacteria	1	Bacteroidetes	0.964	Cytophagia	0.9017	Cytophagales	0.7322	Cytophagaceae	0.5624	Fibrella	0.2271	Fibrella_aestuarina	0.0341	d:Bacteria,p:Firmicutes,c:Negativicutes,o:Veillonellales,f:Veillonellaceae,g:Megasphaera,s:Megasphaera_cerevisiae	VTT-E-85230_16S	yes	94.7	38	3997	1	2	1
OTU_1020	Bacteria	1	Proteobacteria	0.9681	Gammaproteobacteria	0.9355	Legionellales	0.7653	Legionellaceae	0.7533	Legionella	0.1664	Legionella_pneumophila	0.0092	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sandaracinobacter,s:Sandaracinobacter_sibiricus	RB16-17_16S	no	100	26	857	2	5	1
OTU_1021	Bacteria	1	Bacteroidetes	0.9845	Chitinophagia	0.8182	Chitinophagales	0.526	Chitinophagaceae	0.4044	Ferruginibacter	0.0118	Ferruginibacter_alkalilentus	6e-4	d:Bacteria,p:Bacteroidetes,c:Chitinophagia,o:Chitinophagales,f:Chitinophagaceae,g:Chitinophaga,s:Chitinophaga_arvensicola	IAM_12650	no	96.3	27	2387	1	1	1
OTU_1022	Bacteria	1	Proteobacteria	0.9763	Betaproteobacteria	0.9422	Burkholderiales	0.9043	Oxalobacteraceae	0.8835	Undibacterium	0.8292	Undibacterium_pigrum	0.5993	d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Herminiimonas,s:Herminiimonas_fonticola	S-94_16S	no	95.6	1419	3063	1	1	1
OTU_1023	Bacteria	1	Bacteroidetes	0.9979	Cytophagia	0.9903	Cytophagales	0.9858	Hymenobacteraceae	0.9751	Adhaeribacter	0.9531	Adhaeribacter_terreus	0.9346	NA	NA	NA	NA	NA	3649	1	2	1
OTU_1024	Bacteria	0.8626	Verrucomicrobia	0.7619	Verrucomicrobiae	0.0813	Verrucomicrobiales	0.06	Verrucomicrobiaceae	0.0192	Roseimicrobium	0.0017	Roseimicrobium_gellanilyticum	0	d:Bacteria,p:Chlamydiae,c:Chlamydiia,o:Chlamydiales,f:Criblamydiaceae,g:Criblamydia,s:Criblamydia_sequanensis	CRIB-18_16S	no	93.1	29	4780	1	1	1
OTU_1025	Bacteria	0.5732	Proteobacteria	0.396	Alphaproteobacteria	0.053	Sphingomonadales	0.0288	Sphingomonadaceae	0.0045	Sphingomonas	6e-4	Sphingomonas_sanxanigenens	0	NA	NA	NA	NA	NA	3465	1	2	1
OTU_1026	Bacteria	1	Bacteroidetes	0.9992	Flavobacteriia	0.9989	Flavobacteriales	0.9947	Flavobacteriaceae	0.9842	Chryseobacterium	0.4696	Chryseobacterium_piscicola	0.0541	d:Bacteria,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Chryseobacterium,s:Chryseobacterium_piscicola	VQ-6316s_16S	no	97.9	1401	1103	5	1	1
OTU_1027	Bacteria	0.5509	Proteobacteria	0.396	Alphaproteobacteria	0.0489	Rhizobiales	0.0288	Methylobacteriaceae	0.0045	Methylobacterium	6e-4	Methylobacterium_brachiatum	0	NA	NA	NA	NA	NA	1097	8	1	1
OTU_1028	Bacteria	1	Proteobacteria	0.9324	Alphaproteobacteria	0.868	Rhizobiales	0.5655	Methylocystaceae	0.2826	Methylocystis	0.0711	Methylocystis_heyeri	0.0059	NA	NA	NA	NA	NA	2208	4	1	1
OTU_1029	Bacteria	1	Bacteroidetes	0.9989	Flavobacteriia	0.9973	Flavobacteriales	0.9938	Flavobacteriaceae	0.9909	Epilithonimonas	0.7821	Epilithonimonas_lactis	0.5993	d:Bacteria,p:Bacteroidetes,c:Flavobacteriia,o:Flavobacteriales,f:Flavobacteriaceae,g:Chryseobacterium,s:Chryseobacterium_piscicola	VQ-6316s_16S	no	95.6	1402	2840	2	1	1
OTU_103	Bacteria	1	DeinococcusThermus	0.952	Deinococci	0.9085	Thermales	0.6662	Thermaceae	0.6387	Meiothermus	0.3483	Meiothermus_granaticius	0.0011	d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Carnobacteriaceae,g:Marinilactibacillus,s:Marinilactibacillus_piezotolerans	JCM_12337	no	93.3	30	5497	1	1	1
OTU_1031	Bacteria	0.8181	Cyanobacteria	0.6621	unsure_Terrabacteria_group	0.0773	Chroococcales	0.0522	Chroococcaceae	0.0155	Gloeocapsa	0.0016	Gloeocapsa_sp	0	NA	NA	NA	NA	NA	3987	1	1	1
OTU_1032	Bacteria	0.8404	Verrucomicrobia	0.7619	Verrucomicrobiae	0.0773	Verrucomicrobiales	0.0561	Verrucomicrobiaceae	0.0173	Roseimicrobium	0.0016	Roseimicrobium_gellanilyticum	0	NA	NA	NA	NA	NA	4780	1	1	1
OTU_1033	Bacteria	0.5287	Firmicutes	0.3295	Clostridia	0.0448	Clostridiales	0.0249	Peptococcaceae	0.0026	Pelotomaculum	5e-4	Pelotomaculum_terephthalicicum	0	d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Lachnospiraceae,g:Coprococcus,s:Coprococcus_catus	VPI-C6-61_16S	no	96.6	29	2495	2	1	1
OTU_1034	Bacteria	1	Proteobacteria	0.9681	Gammaproteobacteria	0.9355	Legionellales	0.7653	Legionellaceae	0.7533	Legionella	0.1664	Legionella_pneumophila	0.0092	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sandaracinobacter,s:Sandaracinobacter_sibiricus	RB16-17_16S	no	100	26	857	2	5	1
OTU_1035	Bacteria	1	Firmicutes	0.929	Tissierellia	0.5816	Tissierellales	0.2621	Peptoniphilaceae	0.1298	Murdochiella	0.0118	Murdochiella_asaccharolytica	6e-4	d:Bacteria,p:Firmicutes,c:Tissierellia,o:Tissierellales,f:Peptoniphilaceae,g:Murdochiella,s:Murdochiella_asaccharolytica	WAL_1855C	no	90.8	1359	5174	1	1	1
OTU_1036	Bacteria	1	Planctomycetes	0.929	Planctomycetia	0.721	Planctomycetales	0.4335	Planctomycetaceae	0.082	Blastopirellula	0.0028	Blastopirellula_cremea	0	d:Bacteria,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Isosphaeraceae,g:Aquisphaera,s:Aquisphaera_giovannonii	OJF8_16S	no	97.5	40	5606	1	1	1
OTU_1037	Bacteria	1	Proteobacteria	0.9681	Alphaproteobacteria	0.9355	Sphingomonadales	0.8313	Sphingomonadaceae	0.6006	Sphingomonas	0.2877	Sphingomonas_adhaesiva	0.0141	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:Sphingomonas_pruni	NBRC_15498	no	95.1	1413	1703	3	3	2
OTU_1038	Bacteria	0.64	Actinobacteria	0.4293	Actinobacteria	0.057	Frankiales	0.0327	Frankiaceae	0.0063	Jatrophihabitans	8e-4	Jatrophihabitans_endophyticus	0	NA	NA	NA	NA	NA	4520	1	1	1
OTU_1039	Bacteria	1	Planctomycetes	0.9979	Planctomycetia	0.9963	Planctomycetales	0.9938	Isosphaeraceae	0.8238	Singulisphaera	0.0926	Singulisphaera_acidiphila	0.0043	d:Bacteria,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Isosphaeraceae,g:Aquisphaera,s:Aquisphaera_giovannonii	OJF8_16S	no	91.8	1434	3112	1	2	1
OTU_104	Bacteria	1	Proteobacteria	0.9479	Betaproteobacteria	0.8882	Burkholderiales	0.6662	Oxalobacteraceae	0.6387	Janthinobacterium	0.4696	Janthinobacterium_lividum	0.0641	d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Massilia,s:Massilia_jejuensis	5317J-18_16S	no	96.9	1402	541	3	1	1
OTU_1040	Bacteria	1	Proteobacteria	0.9304	Alphaproteobacteria	0.7939	Rhizobiales	0.4864	Methylocystaceae	0.1775	Methylocystis	0.0282	Methylocystis_heyeri	0.0026	NA	NA	NA	NA	NA	2208	4	1	1
OTU_1041	Bacteria	1	Proteobacteria	0.9399	Alphaproteobacteria	0.8882	Rhizobiales	0.6051	Beijerinckiaceae	0.4044	Methylocella	0.114	Methylocella_tundrae	0.0092	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Bradyrhizobiaceae,g:Bradyrhizobium,s:Bradyrhizobium_daqingense	CCBAU_15774	no	90.9	1257	1221	4	1	1
OTU_1042	Bacteria	1	Armatimonadetes	0.9314	Armatimonadia	0.8425	Armatimonadales	0.5458	Armatimonadaceae	0.4449	Armatimonas	0.2271	Armatimonas_rosea	0.0341	d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Leuconostocaceae,g:Weissella,s:Weissella_thailandensis	FS61-1_16S	no	91.7	36	4763	1	1	1
OTU_1043	Bacteria	0.6845	Proteobacteria	0.4958	Alphaproteobacteria	0.0651	Rhizobiales	0.0444	Methylobacteriaceae	0.0118	Methylobacterium	0.0013	Methylobacterium_tardum	0	d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Micrococcaceae,g:Pseudarthrobacter,s:Pseudarthrobacter_siccitolerans	4J27_16S	no	91.4	35	1097	8	1	1
OTU_1044	Bacteria	1	Proteobacteria	0.9314	Alphaproteobacteria	0.8425	Rhizobiales	0.5062	Beijerinckiaceae	0.1775	Beijerinckia	0.0282	Beijerinckia_indica	0.0026	NA	NA	NA	NA	NA	2921	3	3	1
OTU_1045	Bacteria	1	Proteobacteria	0.9479	Alphaproteobacteria	0.9017	Rhodospirillales	0.5062	Acetobacteraceae	0.3638	Acidisphaera	0.0282	Acidisphaera_rubrifaciens	0.0026	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Komagataeibacter,s:Komagataeibacter_swingsii	DST_GL01	no	91.7	1418	1984	1	1	1
OTU_1046	Bacteria	0.7958	Cyanobacteria	0.6621	Gloeobacteria	0.0732	Gloeobacterales	0.0522	Gloeobacteraceae	0.0155	Gloeobacter	0.0016	Gloeobacter_kilaueensis	0	d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,s:Legionella_jamestowniensis	NCTC_11981	yes	100	31	3803	2	1	1
OTU_1047	Bacteria	1	Proteobacteria	0.9399	Alphaproteobacteria	0.8882	Rhodospirillales	0.4666	Acetobacteraceae	0.2826	Rhodopila	0.0282	Rhodopila_globiformis	0.0026	d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Legionellales,f:Legionellaceae,g:Legionella,s:Legionella_steelei	IMVS-3376_16S	no	96.3	27	1985	1	1	1
OTU_1049	Bacteria	1	Proteobacteria	0.929	Alphaproteobacteria	0.721	Rhizobiales	0.3906	Methylobacteriaceae	0.1298	Microvirga	0.0157	Microvirga_lotononidis	9e-4	NA	NA	NA	NA	NA	1839	5	1	1
OTU_105	Bacteria	0.8626	Proteobacteria	0.6954	Deltaproteobacteria	0.0813	Desulfuromonadales	0.0561	Geobacteraceae	0.0173	Geobacter	0.0016	Geobacter_pickeringii	0	NA	NA	NA	NA	NA	3357	1	1	1
OTU_1050	Bacteria	1	Actinobacteria	0.929	Thermoleophilia	0.721	Solirubrobacterales	0.3478	Solirubrobacteraceae	0.1298	Solirubrobacter	0.0157	Solirubrobacter_ginsenosidimutans	9e-4	d:Bacteria,p:Firmicutes,c:Clostridia,o:Thermoanaerobacterales,f:Thermoanaerobacteraceae,g:Desulfovirgula,s:Desulfovirgula_thermocuniculi	RL80JIV_16S	no	97.3	37	2612	2	1	1
OTU_1051	Bacteria	1	Proteobacteria	0.964	Alphaproteobacteria	0.9287	Rhizobiales	0.7653	Beijerinckiaceae	0.5624	Beijerinckia	0.2271	Beijerinckia_doebereinerae	0.0341	NA	NA	NA	NA	NA	4660	2	1	1
OTU_1052	Bacteria	0.7291	Cyanobacteria	0.5623	unsure_Terrabacteria_group	0.0651	Synechococcales	0.0444	Pseudanabaenaceae	0.0118	Prochlorothrix	0.0013	Prochlorothrix_hollandica	0	NA	NA	NA	NA	NA	6059	1	1	1
OTU_1056	Bacteria	0.7068	Cyanobacteria	0.5291	unsure_Terrabacteria_group	0.0611	Chroococcales	0.0405	Microcystaceae	0.01	Microcystis	0.0011	Microcystis_aeruginosa	0	d:Bacteria,p:Firmicutes,c:Clostridia,o:Clostridiales,f:Ruminococcaceae,g:Ruminiclostridium,s:Clostridium_leptum	DSM_753	yes	94.3	35	3811	1	1	1
OTU_1057	Bacteria	1	Proteobacteria	0.9804	Alphaproteobacteria	0.9693	Sphingomonadales	0.9371	Sphingomonadaceae	0.7915	Sphingomonas	0.5908	Sphingomonas_cynarae	0.0441	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:Sphingomonas_asaccharolytica	NBRC_15499	no	96.3	1366	3529	2	1	1
OTU_1058	Bacteria	1	Proteobacteria	0.9927	Alphaproteobacteria	0.9913	Rhodospirillales	0.9043	Acetobacteraceae	0.8835	Roseomonas	0.7821	Roseomonas_vinacea	0.3055	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Komagataeibacter,s:Komagataeibacter_swingsii	DST_GL01	no	90.7	1414	3530	2	1	1
OTU_1059	Bacteria	1	Actinobacteria	0.9989	Actinobacteria	0.9923	Micromonosporales	0.9262	Micromonosporaceae	0.9233	Actinoplanes	0.5908	Actinoplanes_digitatis	0.2112	d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micromonosporales,f:Micromonosporaceae,g:Actinoplanes,s:Actinoplanes_philippinensis	DSM_43019	no	95.5	1278	495	10	2	1
OTU_106	Bacteria	1	Verrucomicrobia	0.9994	Verrucomicrobiae	0.9993	Verrucomicrobiales	0.9993	Akkermansiaceae	0.9921	Akkermansia	0.9932	Akkermansia_muciniphila	0.9772	d:Bacteria,p:Chlamydiae,c:Chlamydiia,o:Chlamydiales,f:Criblamydiaceae,g:Criblamydia,s:Criblamydia_sequanensis	CRIB-18_16S	no	93.3	30	3150	1	2	1
OTU_1060	Bacteria	1	Proteobacteria	0.9866	Alphaproteobacteria	0.9883	Sphingomonadales	0.959	Sphingomonadaceae	0.8437	Sphingobium	0.6407	Sphingobium_yanoikuyae	0.0641	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingobium,s:Sphingobium_limneticum	301_16S	no	96.6	1162	1406	4	4	1
OTU_1062	Bacteria	1	Proteobacteria	0.9743	Alphaproteobacteria	0.949	Sphingomonadales	0.8643	Sphingomonadaceae	0.7151	Sphingomonas	0.4089	Sphingomonas_roseiflava	0.0241	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:Sphingomonas_mali	IFO_15500	no	96.4	1342	1415	7	2	2
OTU_1063	Bacteria	1	Planctomycetes	0.9978	Planctomycetia	0.9953	Planctomycetales	0.9938	Isosphaeraceae	0.8238	Singulisphaera	0.114	Singulisphaera_acidiphila	0.0043	d:Bacteria,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Isosphaeraceae,g:Aquisphaera,s:Aquisphaera_giovannonii	OJF8_16S	no	90.7	1434	3112	1	2	1
OTU_1064	Bacteria	1	Planctomycetes	0.9866	Planctomycetia	0.9883	Planctomycetales	0.981	Isosphaeraceae	0.5242	Singulisphaera	0.0197	Singulisphaera_rosea	6e-4	d:Bacteria,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Gemmataceae,g:Gemmata,s:Gemmata_obscuriglobus	DSM_5831	no	96.7	30	5374	1	1	1
OTU_1065	Bacteria	1	Proteobacteria	0.956	Betaproteobacteria	0.9152	Burkholderiales	0.6051	unsure_unclassified_Burkholderiales	0.4449	Ideonella	0.1664	Ideonella_dechloratans	0.0241	d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:unsure_unclassified_Burkholderiales,g:Sphaerotilus,s:Sphaerotilus_natans	D-501_16S	no	95.3	1428	172	4	1	1
OTU_1066	Bacteria	1	Armatimonadetes	0.9314	Armatimonadia	0.8425	Armatimonadales	0.5458	Armatimonadaceae	0.4449	Armatimonas	0.2271	Armatimonas_rosea	0.0341	d:Bacteria,p:Firmicutes,c:Bacilli,o:Lactobacillales,f:Leuconostocaceae,g:Weissella,s:Weissella_thailandensis	FS61-1_16S	no	91.7	36	4763	1	1	1
OTU_1068	Bacteria	1	Proteobacteria	0.9359	Alphaproteobacteria	0.8815	Caulobacterales	0.6332	Caulobacteraceae	0.6006	Caulobacter	0.1664	Caulobacter_vibrioides	0.0092	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Brevundimonas,s:Brevundimonas_abyssalis	TAR-001_16S	no	95.2	1401	1066	5	1	1
OTU_1069	Bacteria	0.7958	Cyanobacteria	0.6289	unsure_Terrabacteria_group	0.0732	Oscillatoriales	0.0483	Gomontiellaceae	0.0137	Crinalium	0.0014	Crinalium_epipsammum	0	NA	NA	NA	NA	NA	3988	1	2	1
OTU_107	Bacteria	1	Proteobacteria	0.9886	Betaproteobacteria	0.9893	Burkholderiales	0.9262	unsure_unclassified_Burkholderiales	0.7151	Xylophilus	0.6407	Xylophilus_ampelinus	0.3997	d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Limnohabitans,s:Limnohabitans_planktonicus	II-D5_16S	no	94.8	1438	1907	2	2	1
OTU_1070	Bacteria	1	Proteobacteria	0.9329	Betaproteobacteria	0.868	Burkholderiales	0.5853	Oxalobacteraceae	0.5242	Massilia	0.2271	Massilia_brevitalea	0.0341	d:Bacteria,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Massilia,s:Massilia_jejuensis	5317J-18_16S	no	96.4	1362	2310	4	1	1
OTU_1071	Bacteria	1	Proteobacteria	0.956	Alphaproteobacteria	0.9152	Rhodospirillales	0.526	Acetobacteraceae	0.4044	Acidisphaera	0.0926	Acidisphaera_rubrifaciens	0.0076	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Acetobacteraceae,g:Komagataeibacter,s:Komagataeibacter_swingsii	DST_GL01	no	92.1	1418	1984	1	1	1
OTU_1072	Bacteria	0.5955	Actinobacteria	0.3627	Actinobacteria	0.0489	Acidothermales	0.0288	Acidothermaceae	0.0045	Acidothermus	6e-4	Acidothermus_cellulolyticus	0	d:Bacteria,p:Chlamydiae,c:Chlamydiia,o:Chlamydiales,f:Criblamydiaceae,g:Criblamydia,s:Criblamydia_sequanensis	CRIB-18_16S	no	93.3	30	3849	1	2	1
